Num episodes,Cumulative rewards
1040,"[-1.0, -3.0, -2.0, 38.0, 50.0, 29.0, -1.0, 8.0, 50.0, 11.0]"
1050,"[8.0, -3.0, 23.0, 0.0, 24.0, 23.0, -3.0, -2.0, 8.0, -1.0]"
1060,"[-1.0, 23.0, -3.0, 18.0, 23.0, 11.0, 26.0, 18.0, -1.0, 28.0]"
1070,"[8.0, 0.0, -2.0, 16.0, 34.0, -1.0, -1.0, 50.0, 0.0, 0.0]"
1080,"[18.0, 27.0, -2.0, 17.0, 33.0, 23.0, 28.0, 1.0, 10.0, -3.0]"
1090,"[17.0, 18.0, 5.0, 50.0, 50.0, -1.0, 8.0, 17.0, 50.0, 22.0]"
1100,"[-1.0, 21.0, 27.0, -1.0, 37.0, 50.0, 21.0, 8.0, -2.0, 28.0]"
1110,"[24.0, -2.0, -2.0, 31.0, 36.0, -3.0, 50.0, 1.0, 12.0, 0.0]"
1120,"[-2.0, 12.0, 30.0, -1.0, 9.0, -3.0, 0.0, 0.0, 8.0, 30.0]"
1130,"[20.0, -1.0, -1.0, -2.0, 26.0, -1.0, 36.0, 2.0, -2.0, -2.0]"
1140,"[34.0, -2.0, 12.0, 19.0, -2.0, 10.0, -2.0, 18.0, 15.0, 24.0]"
1150,"[28.0, -1.0, -2.0, -3.0, 9.0, 27.0, 14.0, -3.0, 17.0, 17.0]"
1160,"[7.0, 13.0, 50.0, 24.0, -1.0, 26.0, 25.0, 15.0, 15.0, 50.0]"
1170,"[-1.0, 11.0, 13.0, 4.0, 0.0, 0.0, -2.0, 19.0, 9.0, -1.0]"
1180,"[1.0, 0.0, 13.0, 24.0, 50.0, -1.0, -2.0, 39.0, 18.0, -3.0]"
1190,"[8.0, 37.0, 0.0, 31.0, -1.0, 15.0, 1.0, 1.0, -2.0, -1.0]"
1200,"[-2.0, -3.0, 50.0, 18.0, 50.0, -2.0, 14.0, 3.0, 28.0, 25.0]"
1210,"[10.0, 24.0, 3.0, 18.0, 15.0, 31.0, -2.0, 14.0, 50.0, -2.0]"
1220,"[30.0, 17.0, -1.0, -1.0, 1.0, 17.0, 8.0, 13.0, 12.0, -2.0]"
1230,"[8.0, 0.0, 19.0, -2.0, 39.0, -1.0, -2.0, 10.0, 50.0, 18.0]"
1240,"[-1.0, 28.0, 23.0, 50.0, 20.0, 20.0, -1.0, 19.0, 1.0, 20.0]"
1250,"[50.0, 32.0, 18.0, 8.0, 10.0, 14.0, 50.0, 33.0, 1.0, 5.0]"
1260,"[1.0, -2.0, 26.0, 21.0, 22.0, 50.0, 13.0, 16.0, 15.0, 16.0]"
1270,"[-2.0, -1.0, -2.0, 26.0, 27.0, 22.0, 16.0, 24.0, -3.0, 13.0]"
1280,"[22.0, 33.0, 28.0, 13.0, 27.0, 25.0, 16.0, -2.0, 31.0, -1.0]"
1290,"[33.0, 50.0, 21.0, 27.0, 8.0, 10.0, 25.0, 21.0, 7.0, -3.0]"
1300,"[50.0, 16.0, 22.0, 50.0, 2.0, 16.0, -1.0, 50.0, 17.0, 50.0]"
1310,"[26.0, 18.0, 0.0, 50.0, 50.0, -1.0, 0.0, 11.0, -3.0, 16.0]"
1320,"[13.0, 0.0, 32.0, 15.0, 18.0, -2.0, 5.0, 21.0, -1.0, 50.0]"
1330,"[-1.0, 50.0, 5.0, 12.0, 24.0, 9.0, 50.0, 50.0, -1.0, 8.0]"
1340,"[14.0, 25.0, 50.0, -2.0, 8.0, 29.0, 38.0, 10.0, 11.0, 50.0]"
