Num episodes,Cumulative rewards
1280,"[-518.2693942794876, -129.87199023532295, -131.87356532916561, -122.94598672997142, -119.24675249656818, -136.0638189657506, -39.48120617908944, -113.91891341856893, -145.0599391026097, -147.84796216878718]"
1290,"[-114.70330816689165, -219.03273380457023, -124.7500818823519, -147.16853643553833, -159.08087707184455, -141.17274789084993, -486.2435695568493, -414.60230827631676, -117.31316348358769, -99.67788193558621]"
1300,"[-140.5887437068995, -159.5270151821096, -125.85990106206165, -118.52084631614684, -132.34382927598787, -122.2566844368722, -153.93849464835301, -207.73784896508948, -140.21447156751645, -36.5923274807604]"
1310,"[-183.33959036454615, -224.87562935951377, -116.2790408466855, -150.14469842391793, -142.05274287471536, -123.49668374565584, -186.79093352455254, -139.78496980868303, -95.45436180297696, -164.93105498529724]"
1320,"[-130.0953576582079, -148.72531278593942, -142.21250962853566, -550.718006290301, -348.34342889700724, -59.12071692337325, -125.72697001861084, -371.3415427413786, -139.02269576014214, -131.835317436972]"
1330,"[-234.9232846911713, -133.02731153193648, -128.20544251213352, -101.12899606716803, -87.53766534659957, -132.8165460101138, -129.42533139959644, -124.64660468949691, -115.00288092705586, -113.66276827801559]"
1340,"[-104.46005475715455, -129.09137922595934, -125.63966345894673, -118.94034316247536, -157.2603755142249, -125.81344162855552, -139.09630409618305, -149.81394943801553, -7.090363425206164, -106.57880146148594]"
1350,"[-165.94946407242878, -170.10487275094425, -115.99611425688258, -123.60075149289071, -183.27925979272044, -91.13029686362793, -97.73273481891391, -132.6387130671307, -223.0921037378799, -153.71042426446377]"
1360,"[-128.56641347189174, -127.10910984605101, -138.6905070872296, -142.48165906819708, -229.39737796803945, -105.15913561001554, -101.17378622520951, -282.21276329464, -153.31741083844153, -143.67934653197932]"
1370,"[-156.23783667396316, -141.46190886783145, -317.27111998830696, -87.29975009190593, -99.76328470136062, -124.94857503775125, -113.40759883299802, -141.1173897367356, -119.65229049350114, -356.6763182860525]"
1380,"[-120.70319734042926, -158.11540292225402, 14.827964423672668, -108.74658585993316, -365.2064559632684, -80.29432383311357, -129.27039349250475, -114.39938315764951, -209.83124428998863, -218.84070854037176]"
1390,"[-549.202357659908, -146.03602023192212, -144.2334173269645, -118.63391027758473, -131.79752401584105, -183.49233658681993, -169.7651504464799, -121.09431557879455, -132.73554752342343, -269.4028443151842]"
